feature,importance
CRUCE_ANS_num,0.19270885284267447
hora_decimal,0.15039625548526683
Tipo_Solicitud_enc,0.1316917525928705
semana_anio,0.1029667751501883
Producto_enc,0.07988104252224139
Aseguradora_enc,0.07846469557918781
dia_semana_num,0.050484830108385115
Verificacion_de_dia_enc,0.046260328057226956
mes_solicitud,0.042710235837788324
Nro_atenciones,0.03611608447004029
Prioridad_enc,0.035623422956801015
es_fin_mes,0.0192265883772438
es_inicio_mes,0.018101076151120443
es_despues_5pm,0.012794788969118086
es_fin_semana,0.0025732708998467213
